neuron_id p0 p1 p2 p3
772 1 0 0 0
773 0 0 0 0
774 0 0 0 1
775 0 0 1 0
776 1 0 0 0
777 1 1 0 0
778 1 1 0 0
779 0 0 0 0
780 0 0 0 0
781 0 0 0 1
782 0 0 0 0
783 1 0 0 0
784 1 0 0 0
785 0 0 0 0
786 0 1 0 0
787 0 1 1 0
788 0 0 0 1
789 0 0 0 0
790 0 0 0 0
791 0 0 0 0
792 0 0 0 0
793 0 1 0 1
794 0 0 1 1
795 0 1 0 0
796 0 0 1 1
797 0 0 1 0
798 0 0 0 0
799 0 0 0 1
800 0 0 0 0
801 0 0 0 0
802 0 0 1 0
803 0 1 1 1
804 0 0 0 0
805 0 0 0 1
806 0 0 0 0
807 0 0 1 1
808 0 0 1 0
809 0 0 1 1
810 0 1 1 0
811 0 1 0 0
812 1 0 0 1
813 0 1 0 0
814 1 0 1 0
815 0 0 0 0
816 1 0 0 0
817 0 0 0 0
818 0 0 1 0
819 0 1 1 0
820 1 0 1 0
821 1 0 0 0
822 0 1 1 0
823 0 0 0 0
824 0 0 0 0
825 0 0 1 1
826 1 1 0 0
827 0 1 0 1
828 0 0 0 0
829 0 0 0 0
830 1 0 1 1
831 0 0 0 0
832 0 1 1 1
833 0 0 0 0
834 0 0 1 0
835 0 1 0 0
836 0 0 0 0
837 1 0 0 1
838 0 0 0 0
839 0 0 1 1
840 0 0 1 0
841 0 0 0 1
842 0 0 0 0
843 0 1 0 0
844 1 1 0 1
845 0 0 0 0
846 0 0 0 1
847 1 0 0 0
848 1 0 0 0
849 0 1 0 0
850 1 1 1 0
851 0 1 0 0
852 1 1 0 1
853 0 1 1 1
854 0 0 1 0
855 0 0 1 0
856 0 1 1 0
857 0 0 1 1
858 0 0 1 1
859 0 1 0 1
860 0 0 0 0
861 1 0 1 0
862 1 0 0 0
863 0 0 0 0
864 1 1 0 1
865 0 1 0 0
866 0 0 0 1
867 0 0 0 0
868 0 1 0 0
869 1 1 1 0
870 1 0 1 1
871 0 0 1 1
872 0 0 0 1
873 0 0 0 0
874 0 1 1 0
875 1 0 0 1
876 0 0 0 0
877 0 0 0 0
878 0 0 0 1
879 1 1 0 0
880 1 0 0 0
881 0 0 0 0
882 0 0 0 0
883 1 0 1 0
884 1 1 0 0
885 0 0 0 0
886 0 0 1 0
887 1 0 0 0
888 0 0 0 0
889 1 0 0 0
890 0 0 1 0
891 0 0 1 0
892 1 1 0 0
893 1 1 0 1
894 1 0 0 1
895 1 0 1 0
896 0 0 0 1
897 0 0 0 1
898 0 0 0 0
899 0 1 0 0
900 0 0 1 0
901 0 0 0 0
902 1 1 0 1
903 0 0 0 1
904 0 0 0 0
905 1 0 0 0
906 1 0 0 0
907 0 0 1 0
908 0 1 0 1
909 0 0 0 0
910 0 0 1 0
911 0 0 1 1
912 0 0 0 0
913 0 1 1 0
914 0 0 1 0
915 0 0 0 0
916 0 0 1 0
917 1 0 0 0
918 0 1 0 1
919 0 0 1 0
920 0 0 1 0
921 0 0 1 1
922 1 0 1 1
923 1 1 0 1
924 1 0 1 0
925 0 0 1 0
926 0 0 0 1
927 1 0 0 0
928 1 0 0 0
929 1 1 1 1
930 0 0 0 1
931 0 0 1 1
932 0 0 0 1
933 0 0 0 1
934 1 0 1 0
935 1 0 0 0
936 0 1 0 0
937 1 1 1 0
938 0 0 0 1
939 0 1 0 0
940 0 0 0 0
941 0 1 0 1
942 1 0 0 0
943 0 1 0 0
944 0 1 1 1
945 0 0 1 1
946 0 1 0 0
947 0 1 0 0
948 1 0 1 0
949 0 0 0 0
950 1 1 1 0
951 0 1 0 1
952 0 0 1 0
953 0 0 0 0
954 1 0 0 1
955 0 0 0 0
956 0 0 1 1
957 0 0 0 0
958 0 0 0 0
959 0 0 1 1
960 0 1 0 0
961 0 1 1 0
962 1 0 0 0
963 0 1 0 0
964 0 1 0 0
965 0 0 0 0
966 1 0 1 0
967 0 0 0 0
968 0 0 0 0
969 1 0 0 0
970 1 1 0 0
971 0 1 1 0
972 0 0 1 0
973 0 0 1 0
974 0 0 0 1
975 1 0 1 1
976 0 0 0 0
977 0 0 0 0
978 0 0 0 1
979 0 1 1 0
980 0 0 0 1
981 0 0 0 0
982 0 1 0 1
983 0 0 0 1
984 0 1 0 1
985 0 0 1 0
986 0 0 0 0
987 0 1 0 0
988 0 0 1 0
989 0 1 0 0
990 1 1 1 0
991 0 1 0 0
992 1 0 1 0
993 0 1 0 0
994 1 0 0 0
995 0 0 1 0
996 0 0 0 0
997 1 0 1 1
998 0 0 0 1
999 0 0 0 0
1000 0 0 1 0
1001 1 0 0 1
1002 0 0 0 0
1003 0 0 0 1
1004 1 0 0 0
1005 0 0 0 1
1006 1 1 0 1
1007 1 0 1 0
1008 1 0 1 1
1009 1 1 0 0
1010 1 0 0 1
1011 1 0 0 1
1012 1 0 0 0
1013 0 0 0 0
1014 0 1 0 0
1015 0 0 1 0
1016 1 0 0 0
1017 0 1 0 0
1018 1 1 1 0
1019 0 0 1 0
1020 0 0 0 0
1021 0 0 0 1
1022 0 0 1 1
1023 0 0 1 0
1024 0 1 0 0
1025 0 0 0 0
1026 1 0 0 1
1027 0 0 0 0
1028 0 0 0 0
1029 0 0 0 0
1030 0 1 0 0
1031 1 0 0 0
1032 1 0 1 0
1033 1 1 0 1
1034 0 0 1 1
1035 1 0 0 0
1036 0 0 1 1
1037 0 1 0 1
1038 0 0 0 0
1039 0 0 0 0
1040 1 0 0 0
1041 0 0 0 0
1042 0 0 0 0
1043 0 0 0 0
1044 0 0 0 1
1045 1 0 0 0
1046 1 0 1 0
1047 1 0 0 0
1048 1 1 0 0
1049 0 0 0 1
1050 1 0 1 0
1051 1 0 1 1
1052 1 0 1 1
1053 1 1 0 0
1054 1 1 1 1
1055 0 0 0 0
1056 1 1 0 0
1057 0 0 0 1
1058 0 0 0 0
1059 0 1 1 0
1060 0 0 0 0
1061 1 1 0 1
1062 1 0 0 0
1063 0 1 0 0
1064 0 0 0 1
1065 1 1 0 1
1066 0 0 0 0
1067 0 1 0 0
1068 1 0 0 0
1069 1 0 0 0
1070 1 0 0 0
1071 1 0 1 1
1072 0 1 0 0
1073 0 0 1 0
1074 0 0 0 0
1075 0 0 0 0
1076 0 1 1 0
1077 1 1 0 0
1078 0 0 0 1
1079 0 0 0 0
1080 0 1 0 1
1081 0 0 0 0
1082 1 0 0 0
1083 0 0 0 0
1084 0 0 0 1
1085 0 1 1 0
1086 1 0 1 1
1087 1 0 1 1
1088 1 1 0 1
1089 0 0 0 0
1090 1 1 1 0
1091 0 0 0 0
1092 0 1 0 0
1093 0 1 1 0
1094 0 0 0 0
1095 0 0 0 0
1096 0 0 0 0
1097 1 0 0 0
1098 0 1 0 0
1099 0 0 0 0
1100 1 0 0 0
1101 0 0 0 1
1102 1 0 0 0
1103 0 0 0 0
1104 0 0 1 0
1105 0 1 1 0
1106 1 1 1 1
1107 1 0 1 0
1108 0 0 0 0
1109 0 0 1 0
1110 0 1 0 0
1111 0 0 0 0
1112 0 1 1 0
1113 0 0 1 0
1114 0 1 1 1
1115 1 0 1 1
1116 0 0 0 0
1117 0 0 0 0
1118 0 0 0 1
1119 1 0 1 0
1120 0 1 0 0
1121 0 0 1 0
1122 0 1 1 0
1123 1 0 0 1
1124 1 0 1 0
1125 0 0 0 1
1126 0 0 1 1
1127 0 0 0 0
1128 1 0 1 0
1129 0 1 0 1
1130 0 1 0 0
1131 0 0 1 0
1132 0 0 0 0
1133 0 1 1 1
1134 0 1 1 0
1135 0 0 0 0
1136 1 0 1 0
1137 0 1 0 0
1138 1 1 0 0
1139 0 0 1 0
1140 0 1 0 0
1141 1 1 0 1
1142 1 0 1 0
1143 0 0 1 0
1144 0 1 0 0
1145 0 0 0 0
1146 1 0 0 0
1147 0 1 0 0
1148 0 1 0 0
1149 0 0 0 0
1150 0 0 1 1
1151 0 0 1 0
1152 0 0 0 1
1153 1 0 1 1
1154 1 0 0 0
1155 1 1 0 0
1156 1 1 0 1
1157 1 1 0 0
1158 0 0 0 0
1159 1 0 1 0
1160 1 1 0 0
1161 1 1 0 0
1162 0 0 0 1
1163 1 0 0 0
1164 0 1 0 0
1165 0 0 0 1
1166 1 0 0 1
1167 0 1 0 0
1168 1 0 1 0
1169 0 0 0 0
1170 0 0 0 1
1171 0 1 1 1
1172 1 0 0 0
1173 0 1 0 0
1174 0 0 0 1
1175 1 1 0 1
1176 0 0 1 0
1177 0 0 0 1
1178 0 0 0 1
1179 0 1 0 1
1180 0 0 1 0
1181 1 0 0 0
1182 1 0 0 1
1183 1 1 0 0
1184 0 1 0 0
1185 0 1 0 1
1186 1 0 0 0
1187 0 0 0 1
1188 0 0 1 0
1189 0 0 0 1
1190 0 1 0 1
1191 0 0 0 0
1192 0 1 1 0
1193 1 1 1 0
1194 0 0 0 0
1195 0 0 0 0
1196 0 0 0 0
1197 1 0 0 1
1198 0 1 0 1
1199 0 0 1 0
1200 0 0 0 1
1201 0 0 1 0
1202 0 0 0 1
1203 1 1 1 0
1204 1 1 1 0
1205 0 1 0 0
1206 0 0 0 0
1207 0 0 0 0
1208 1 0 0 1
1209 1 1 1 1
1210 0 0 0 0
1211 1 0 0 0
1212 0 0 0 0
1213 1 0 0 0
1214 1 1 0 1
1215 0 0 1 0
1216 0 0 0 1
1217 0 1 0 0
1218 0 0 0 1
1219 1 0 0 0
1220 0 1 0 0
1221 1 1 0 1
1222 1 0 0 0
1223 0 0 1 0
1224 0 1 0 0
1225 0 0 0 1
1226 0 0 1 0
1227 0 0 0 0
1228 1 1 1 0
1229 0 0 0 0
1230 1 0 0 1
1231 0 0 0 0
1232 0 1 0 0
1233 0 1 1 0
1234 0 1 1 0
1235 0 1 0 0
1236 0 1 0 0
1237 0 1 0 0
1238 0 0 1 0
1239 0 1 1 0
1240 0 1 0 0
1241 1 1 0 1
1242 0 1 1 1
1243 0 0 0 0
1244 0 0 0 0
1245 0 0 0 0
1246 0 1 1 0
1247 0 0 0 0
1248 0 0 0 0
1249 1 0 0 1
1250 0 0 1 1
1251 0 0 0 0
1252 0 1 1 0
1253 0 0 1 0
1254 0 1 0 0
1255 0 1 0 0
1256 1 0 0 0
1257 0 0 0 0
1258 0 0 0 0
1259 1 0 0 0
1260 0 0 0 0
1261 0 0 0 0
1262 1 0 0 1
1263 0 0 0 0
1264 1 0 0 0
1265 1 1 0 0
1266 0 0 0 0
1267 0 0 1 0
1268 0 0 0 1
1269 0 0 0 1
1270 0 0 0 1
1271 0 0 0 0
1272 0 0 0 0
1273 0 0 0 0
1274 0 0 1 0
1275 1 0 1 0
1276 0 0 0 1
1277 1 0 0 0
1278 0 0 0 0
1279 0 1 0 1
1280 1 0 0 0
1281 0 1 1 0
1282 0 0 0 0
1283 1 1 0 0
1284 1 0 0 0
1285 0 1 0 0
1286 1 0 0 1
1287 0 0 0 1
1288 0 0 0 0
1289 0 1 1 0
1290 0 1 1 0
1291 0 0 0 1
1292 0 0 0 0
1293 1 0 0 0
1294 0 0 1 1
1295 0 0 1 1
1296 0 1 0 1
1297 0 0 0 0
1298 0 0 0 0
1299 0 0 0 0
1300 0 0 0 1
1301 0 0 0 1
1302 0 1 0 0
1303 1 0 0 1
1304 0 0 1 0
1305 0 0 0 0
1306 1 1 1 0
1307 0 1 0 1
1308 0 0 1 1
1309 1 0 0 1
1310 0 0 1 0
1311 0 1 1 0
1312 0 0 0 0
1313 0 0 1 1
1314 0 0 1 0
1315 0 1 0 1
1316 0 0 0 1
1317 0 0 0 0
1318 1 0 0 0
1319 1 0 1 0
1320 0 0 1 0
1321 1 0 0 1
1322 0 1 1 0
1323 0 0 0 1
1324 0 0 1 1
1325 1 1 0 1
1326 1 0 0 0
1327 0 1 0 0
1328 0 1 0 1
1329 1 0 0 1
1330 0 0 0 0
1331 0 0 0 0
1332 0 0 1 0
1333 0 1 1 0
1334 0 1 0 1
1335 1 1 1 0
1336 0 1 0 0
1337 1 0 1 0
1338 1 1 0 1
1339 0 0 1 0
1340 0 1 0 0
1341 0 0 0 1
1342 0 0 0 0
1343 1 1 0 0
1344 0 1 1 0
1345 0 0 0 0
1346 1 0 0 1
1347 1 0 0 0
1348 0 0 0 1
1349 0 1 1 0
1350 0 0 0 1
1351 0 0 1 1
1352 0 0 1 0
1353 1 0 0 0
1354 0 1 0 1
1355 0 0 1 0
1356 0 0 0 0
1357 1 0 1 0
1358 0 0 0 0
1359 0 0 0 1
